Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1634547600.0 10.0 NA 138 287 0 NA NA NA NA NA NA 280 610 0 NA NA NA NA NA NA 1923 3177 477 NA NA NA NA NA NA 1284 3572 639 NA NA NA NA NA
1634547600.0 10001.0 NA 221 440 0 87 158 NA NA NA NA 434 908 0 194 320 NA NA NA NA 2597 1698 499 375 880 NA NA NA NA 1479 3390 1167 917 1666 NA NA NA
1634547600.0 10002.0 NA 221 441 0 79 172 NA NA NA NA 429 894 0 200 347 NA NA NA NA 2854 1844 525 412 956 NA NA NA NA 1485 3565 1356 1691 1292 NA NA NA
1634547600.0 10003.0 NA 225 443 0 79 187 NA NA NA NA 433 912 0 187 347 NA NA NA NA 2813 1874 536 414 960 NA NA NA NA 2039 3809 1361 1532 2062 NA NA NA
1634547600.0 10004.0 NA 223 435 0 79 148 NA NA NA NA 439 884 0 191 312 NA NA NA NA 2640 1721 485 382 882 NA NA NA NA 1722 3677 762 1104 2050 NA NA NA
1634547600.0 10005.0 NA 219 436 0 79 174 NA NA NA NA 426 878 0 195 345 NA NA NA NA 2810 1844 520 408 917 NA NA NA NA 1853 2634 899 957 1102 NA NA NA
1634547600.0 10006.0 NA 223 429 0 78 141 NA NA NA NA 432 888 0 186 284 NA NA NA NA 2637 1686 497 379 865 NA NA NA NA 1738 4422 778 1157 1571 NA NA NA
1634547600.0 10007.0 NA 219 432 0 108 156 NA NA NA NA 432 888 0 270 305 NA NA NA NA 2866 1850 535 579 939 NA NA NA NA 1610 3436 1283 1441 2014 NA NA NA
1634547600.0 1001.0 NA 251 132 0 0 0 0 0 0 NA 437 267 0 0 0 0 0 0 NA 2361 567 110 85 117 269 137 270 NA 3162 986 277 196 248 501 383 570
1634547600.0 1001.2 NA 500 173 0 NA NA NA NA NA NA 935 480 0 NA NA NA NA NA NA 14004 1948 128 NA NA NA NA NA NA 7167 1836 344 NA NA NA NA NA
